Feature,Importance
errorBalanceOrig,0.4419939
is_drain_account,0.27283365
newbalanceOrig,0.20849752
amount_to_oldbalance_ratio,0.01745921
is_large_transaction,0.014952398
oldbalanceOrg,0.013344489
type_TRANSFER,0.006434285
amount,0.0060836636
step,0.0044546956
errorBalanceDest,0.0043768706
oldbalanceDest,0.004032374
newbalanceDest,0.0036413386
hour_of_day,0.0018957286
is_night_transaction,0.0
